Bill #,State,Session,Subject,Introduced,Latest Action,Latest Action Date,Link,Primary Sponsor,Cosponsors,Latest Bill Text
A 3001,New York,2023 Regular Session,Legislature And Judiciary Budget,Feb 01 2023,Substituted By S4001b,May 02 2023,https://openstates.org/ny/bills/2023-2024/A3001/,Budget Committee,,http://legislation.nysenate.gov/pdf/bills/2023/A3001A
S 4003,New York,2023 Regular Session,Aid To Localities Budget,Feb 01 2023,Substituted By A3003d,May 02 2023,https://openstates.org/ny/bills/2023-2024/S4003/,Budget Committee,,http://legislation.nysenate.gov/pdf/bills/2023/S4003D
SB 673,California,2023-2024 Regular Session,Emergency notification: Ebony Alert: missing Black youth.,Feb 16 2023,Read Second Time. Ordered To Third Reading.,May 02 2023,https://openstates.org/ca/bills/20232024/SB673/,,,https://leginfo.legislature.ca.gov/faces/billPdf.xhtml?bill_id=202320240SB673&version=20230SB67398AMD
A 3001,New York,2023 Regular Session,Legislature And Judiciary Budget,Feb 01 2023,Substituted By S4001b,May 02 2023,https://openstates.org/ny/bills/2023-2024/A3001/,Budget Committee,,http://legislation.nysenate.gov/pdf/bills/2023/A3001A
S 4003,New York,2023 Regular Session,Aid To Localities Budget,Feb 01 2023,Substituted By A3003d,May 02 2023,https://openstates.org/ny/bills/2023-2024/S4003/,Budget Committee,,http://legislation.nysenate.gov/pdf/bills/2023/S4003D
HB 999,Florida,2023 Regular Session,Postsecondary Educational Institutions,Feb 21 2023,"Laid On Table, Refer To Cs/Cs/Cs/Sb 266",May 02 2023,https://openstates.org/fl/bills/2023/HB999/,"Robert Alexander ""Alex"" Andrade","Webster Barnaby; James Buchanan; Randy Fine; Berny Jacques; Randall Scott ""Randy"" Maggard; Ralph E. Massullo, MD; Rick Roth",https://flsenate.gov/Session/Bill/2023/999/BillText/c2/PDF
SB 148,Georgia,2023-2024 Regular Session,"Nonprofit Corporations; comprehensively revise, simplify, and modernize said chapter",Feb 09 2023,Act 260,May 02 2023,https://openstates.org/ga/bills/2023_24/SB148/,Lee Anderson,,http://www.legis.ga.gov/Legislation/20232024/214260.pdf
SB 754,Rhode Island,2023 Regular Session,AN ACT RELATING TO COMMERCIAL LAW -- GENERAL REGULATORY PROVISIONS -- RHODE ISLAND DATA TRANSPARENCY AND PRIVACY PROTECTION ACT (Provides data privacy protections for the personal identifiable information of Rhode Islanders.),Mar 23 2023,05/02/2023 Committee Recommended Measure Be Held For Further Study,May 02 2023,https://openstates.org/ri/bills/2023/SB754/,Roger A. Picard,,http://webserver.rilegislature.gov/BillText/BillText23/SenateText23/S0754.pdf
SB 1560,Illinois,103rd Regular Session,Timber Buyer Act-Various,Feb 08 2023,Placed On Calendar Order Of 3rd Reading - Short Debate,May 02 2023,https://openstates.org/il/bills/103rd/SB1560/,"Lawrence ""Larry"" Walsh, Jr.",,https://ilga.gov/legislation/fulltext.asp?DocName=10300SB1560sam001&GA=103&SessionId=112&DocTypeId=SB&LegID=146311&DocNum=1560&GAID=17&SpecSess=&Session=&print=true
HF 100,Minnesota,2023-2024 Regular Session,Cannabis finance and policy bill.,Jan 05 2023,Senate Conferees Port; Oumou Verbeten; Murphy; Pha; Rasmusson,May 02 2023,https://openstates.org/mn/bills/2023-2024/HF100/,Zack Stephenson,Jessica Hanson; Melissa Hortman; Jamie Long; Aisha Gomez; Kaohly Vang Her; Erin Koegel; Ethan Cha; Sydney Jordan; Emma Greenman; Steve Elkins; Sandra Feist; Luke Frederick; Athena Hollins; Michael Howard; Liz Olson; Amanda Hemmingsen-Jaeger; Leon Lillie; Mohamud Noor; Xiong; Dan Wolgamott; Jamie Becker-Finn; Jeff Brand; Hodan Hassan; Pérez-Vega; Brion Curran; Clardy; Brad Tabke; Liz Reyer; Esther Agbaje; Samakab Hussein; Samantha Sencer-Mura; Frank Hornstein; Lindsey Port,https://www.revisor.mn.gov/bills/text.php?number=HF100&version=2&session=ls93&session_year=2023&session_number=0&type=ue
A 3004,New York,2023 Regular Session,Capital Projects Budget,Feb 01 2023,Delivered To Governor,May 02 2023,https://openstates.org/ny/bills/2023-2024/A3004/,Budget Committee,,http://legislation.nysenate.gov/pdf/bills/2023/A3004D
SB 23-090,Colorado,2023 Regular Session,Uniform Commercial Code 2022 Amendments,Jan 27 2023,Governor Signed,May 01 2023,https://openstates.org/co/bills/2023A/SB23-090/,Marc Snyder,,https://leg.colorado.gov/sites/default/files/2023a_sb090_h_jud_001.pdf
SF 2219,Minnesota,2023-2024 Regular Session,Omnibus Commerce policy bill,Mar 01 2023,"Senate File First Reading, Referred To Ways And Means",May 01 2023,https://openstates.org/mn/bills/2023-2024/SF2219/,Matt D. Klein,Zack Stephenson,https://www.revisor.mn.gov/bills/text.php?number=SF2219&version=2&session=ls93&session_year=2023&session_number=0
HF 2887,Minnesota,2023-2024 Regular Session,Transportation finance and policy bill.,Mar 15 2023,Senate Conferees Dibble; Morrison; Carlson; Mcewen; Jasinski,May 01 2023,https://openstates.org/mn/bills/2023-2024/HF2887/,Frank Hornstein,D. Scott Dibble,https://www.revisor.mn.gov/bills/text.php?number=HF2887&version=2&session=ls93&session_year=2023&session_number=0&type=ue
SB 1196,Oklahoma,2023 Regular Session,"Multiple versions of statutes; amending, merging, consolidating and repealing multiple versions of statutes. Emergency.",Apr 10 2023,Coauthored By Representative Kannady (Principal House Author),May 01 2023,https://openstates.org/ok/bills/2023/SB1196/,Chris Kannady,,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24 INT/SB/SB1196 INT.PDF
HF 655,Iowa,2023-2024 Regular Session,"A bill for an act providing for business organizations, including limited liability companies, providing penalties, and including effective date provisions.",Mar 07 2023,Message From Senate.,May 01 2023,https://openstates.org/ia/bills/2023-2024/HF655/,COMMITTEE ON JUDICIARY,,https://www.legis.iowa.gov/docs/publications/AMDI/90/H1171.pdf
SB 183,Indiana,2023 Regular Session,Unclaimed property matters.,Jan 09 2023,Public Law 101,May 01 2023,https://openstates.org/in/bills/2023/SB183/,,Greg Steuerwald,http://in-proxy.openstates.org/2023/bills/SB0183/versions/SB0183.06.ENRH
SB 895,Texas,88th Legislature (2023),Relating to the regulation of money services businesses; creating a criminal offense; creating administrative penalties; authorizing the imposition of a fee.,Feb 14 2023,Committee Report Sent To Calendars,May 01 2023,https://openstates.org/tx/bills/88/SB895/,Trent Ashby,,http://capitol.texas.gov/tlodocs/88R/billtext/html/SB00895H.HTM
S 4004,New York,2023 Regular Session,Capital Projects Budget,Feb 01 2023,Substituted By A3004d,May 01 2023,https://openstates.org/ny/bills/2023-2024/S4004/,Budget Committee,,http://legislation.nysenate.gov/pdf/bills/2023/S4004D
A 3007,New York,2023 Regular Session,Enacts into law major components of legislation necessary to implement the state health and mental hygiene budget for the 2023-2024 state fiscal year,Feb 01 2023,Substituted By S4007c,May 01 2023,https://openstates.org/ny/bills/2023-2024/A3007/,Budget Committee,,http://legislation.nysenate.gov/pdf/bills/2023/A3007C
HB 410,North Carolina,2023-2024 Session,Credit Union Update.,Mar 16 2023,Regular Message Received From House,May 01 2023,https://openstates.org/nc/bills/2023/HB410/,Julia C. Howard,"John R. Bell IV; Jennifer Balkcom; John R. Bradford, III; Mike Clampitt; Ray Pickett; Jason Saine; Frank Sossamon; Bill Ward; Michael H. Wray",https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H410v2.pdf
SB 5,Indiana,2023 Regular Session,Consumer data protection.,Jan 09 2023,Signed By The Governor,May 01 2023,https://openstates.org/in/bills/2023/SB5/,,Elizabeth Rowray; Chris Jeter; Carey Hamilton,http://in-proxy.openstates.org/2023/bills/SB0005/versions/SB0005.05.ENRH
SB 1196,Oklahoma,2023 Regular Session,"Multiple versions of statutes; amending, merging, consolidating and repealing multiple versions of statutes. Emergency.",Apr 10 2023,Coauthored By Representative Kannady (Principal House Author),May 01 2023,https://openstates.org/ok/bills/2023/SB1196/,Chris Kannady,,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24 INT/SB/SB1196 INT.PDF
SB 106,Kansas,2023-2024 Regular Session,Reconciling multiple amendments to certain statutes.,Jan 26 2023,"Approved By Governor On Tuesday, May 9, 2023",Apr 28 2023,https://openstates.org/ks/bills/2023-2024/SB106/,,,http://www.kslegislature.org/li/b2023_24/measures/documents/sb106_00_0000.pdf
HB 1003,North Dakota,68th Legislative Assembly (2023-24),"AN ACT to provide an appropriation for defraying the expenses of the North Dakota university system; to provide an appropriation to the Bank of North Dakota; to create and enact a new section to chapter 6-09, four new sections to chapter 15-10, section 15-10-48.2, and section 15-18.2-06.1 of the North Dakota Century Code, relating to an economic diversification research fund, matching grants for agricultural research and extension, the Bismarck state college polytechnic center, a report on higher education trends, disclosure of financial condition, and a minimum amount payable; to amend and reenact sections 15-10-38.1, 15-10-38.2, 15-10-38.3, subdivision c of subsection 1 of section 15-10-48, subdivision c of subsection 1 of section 15-10-49, subsection 2 of section 15-10-49, sections 15-10-57 and 15-10-63, subdivision k of subsection 1 of section 15-18.2-02, subsection 1 of section 15-18.2-05, section 15-54.1-02, subsection 1 of section 15-62.4-03, subdivision c of subsection 2 of section 54-07-12, and section 54-44.1-11 of the North Dakota Century Code, relating to the skilled workforce student loan repayment program, the skilled workforce scholarship program, matching grants for the advancement of academics, the workforce development council, higher education capital projects, state aid for institutions of higher education, the university system capital building fund, student financial assistance grants, the digitization of documents relating to Theodore Roosevelt, and the cancellation of unexpended appropriations; to repeal sections 15-10-48.1 and 15-10-58 of the North Dakota Century Code, relating to matching grants for legal education and the workforce education advisory council; to provide for a transfer; to provide for a legislative management study; to provide loan authorization for the Mayville state university old main project; to provide for a report; to provide an exemption; to provide legislative intent; and to declare an emergency.",Jan 03 2023,Sent To Governor,Apr 28 2023,https://openstates.org/nd/bills/68/HB1003/,,Appropriations,https://www.ndlegis.gov/assembly/68-2023/regular/documents/23-0232-05000.pdf
SF 2744,Minnesota,2023-2024 Regular Session,Omnibus Commerce appropriations,Mar 08 2023,House Conferees Stephenson; Kotyza-Witthuhn; O'Driscoll,Apr 28 2023,https://openstates.org/mn/bills/2023-2024/SF2744/,Matt D. Klein,Nick A. Frentz; Zack Stephenson,https://www.revisor.mn.gov/bills/text.php?number=SF2744&version=2&session=ls93&session_year=2023&session_number=0&type=ue
SB 8,Kansas,2023-2024 Regular Session,"Reducing penalties for the late filing of and the failure to file personal property renditions and the discovery of escaped personal property, requiring filing only an initial statement with county appraiser for personal property, decreasing the penalties for failing to timely remit withholding income taxes of employees by employers, extending reimbursement from the taxpayer notification costs fund for printing and postage costs for county clerks for calendar year 2024, modifying and prescribing the contents of the revenue neutral rate public hearing notice, providing two prior years' values on the annual valuation notice, allowing for filing of an appraisal by a certified residential real property appraiser for appeal purposes, discontinuing the prohibition of paying taxes under protest after a valuation notice appeal, accounting for adverse influences in the valuation of agricultural land, including properties used for registered agritourism activities as land devoted to agricultural use for purposes of classification, providing a property tax exemption for certain business property operated in competition with property owned or operated by a governmental entity, providing income tax subtraction modifications to permit the carryforward of certain net operating losses for individuals and for the federal work opportunity tax credit and the employee retention credit disallowances, increasing the tax credit amount for adoption expenses and making the credit refundable, increasing the amount of income tax credits available for purchases under the disability employment act from qualified vendors, continuing in existence such credits beyond tax year 2023 and defining qualifying vendors and eligible employees, establishing a tax credit for contributions to eligible charitable organizations operating pregnancy centers or residential maternity facilities, clarifying the determination of taxable income of an electing pass-through entity and providing for the passing through of tax credits to electing pass-through entity owners for purposes of the salt parity act, excluding social security payments from household income and expanding eligibility for seniors and disabled veterans related to increased property tax homestead refund claims, providing a sales tax exemption for sales of property and services used in the provision of communications services and excluding manufacturers' coupons from the sales or selling price.",Jan 09 2023,"Enrolled And Presented To Governor On Friday, May 5, 2023",Apr 28 2023,https://openstates.org/ks/bills/2023-2024/SB8/,,,http://www.kslegislature.org/li/b2023_24/measures/documents/sb8_00_0000.pdf
HB 525,Hawaii,2023 Regular Session,Relating To The Uniform Commercial Code.,Jan 20 2023,Received Notice Of House Agreement And Passage On Final Reading (Hse. Com. No. 890).,Apr 28 2023,https://openstates.org/hi/bills/2023 Regular Session/HB525/,Mark M. Nakashima,,https://capitol.hawaii.gov/sessions/session2023/bills/HB525_.HTM
HB 6348,Rhode Island,2023 Regular Session,"AN ACT RELATING TO STATE AFFAIRS AND GOVERNMENT -- VIDEO LOTTERY GAMES, TABLE GAMES AND SPORTS WAGERING (This act would legalize iGaming by patrons located in the State of Rhode Island. Effective 1/1/2024.)",Apr 28 2023,"04/28/2023 Introduced, Referred To House Finance",Apr 28 2023,https://openstates.org/ri/bills/2023/HB6348/,William W. O'Brien,,http://webserver.rilegislature.gov/BillText/BillText23/HouseText23/H6348.pdf
SF 2909,Minnesota,2023-2024 Regular Session,Omnibus Judiciary and Public Safety appropriations,Mar 15 2023,House Conferees Moller; Feist; Becker-Finn; Frazier; Curran,Apr 28 2023,https://openstates.org/mn/bills/2023-2024/SF2909/,Ron Latz,Kelly Moller; Jamie Becker-Finn,https://www.revisor.mn.gov/bills/text.php?number=SF2909&version=2&session=ls93&session_year=2023&session_number=0&type=ue
SF 2995,Minnesota,2023-2024 Regular Session,Omnibus Health and Human Services appropriations,Mar 20 2023,House Conferees Liebling; Bierman; Pinto; Keeler; Schomacker,Apr 28 2023,https://openstates.org/mn/bills/2023-2024/SF2995/,Melissa H. Wiklund,Tina Liebling,https://www.revisor.mn.gov/bills/text.php?number=SF2995&version=2&session=ls93&session_year=2023&session_number=0&type=ue
HB 2008,Oregon,2023 Regular Session,Relating to protections from debt collection; prescribing an effective date.,Feb 14 2023,Public Hearing Held.,Apr 27 2023,https://openstates.org/or/bills/2023R1/HB2008/,Nathan Sosa,Mark Gamba; Zach Hudson; Travis Nelson; Michael Dembrow; Chris Gorsek; Deb Patterson; Ben Bowman; Julie Fahey; Maxine Dexter; Farrah Chaichi; Tom Andersen,https://olis.oregonlegislature.gov/liz/2023R1/Downloads/MeasureDocument/HB2008/Introduced
SB 304,Michigan,2023-2024 Regular Session,"Appropriations: school aid; supplemental appropriations in the school aid act; provide for. Amends secs. 4, 6, 6a, 11, 11a, 11j, 11k, 11m, 11s, 15, 20, 20d, 20f, 21h, 22a, 22b, 22c, 22d, 22m, 24, 24a, 25f, 25g, 26a, 26b, 26c, 26d, 27a, 27b, 27c, 28, 31a, 31c, 31d, 31f, 31j, 31n, 31p, 31aa, 32d, 32n, 32p, 35a, 39, 39a, 41, 51a, 51c, 51d, 51e, 51g, 53a, 54, 54b, 54d, 56, 61a, 61b, 61c, 61d, 61i, 62, 65, 67, 74, 81, 94, 94a, 95b, 97, 97b, 97e, 98, 98c, 99h, 99s, 104, 104h, 107, 147, 147a, 147b, 147c, 147e, 152a & 152b of 1979 PA 94 (MCL 388.1604 et seq.) & adds secs. 22e, 31k, 32w & 35k.",Apr 27 2023,Referred To Committee On Appropriations,Apr 27 2023,https://openstates.org/mi/bills/2023-2024/SB304/,Thomas A. Albert,Michele Hoitenga; Joseph N. Bellino Jr.,http://legislature.mi.gov/documents/2023-2024/billintroduced/Senate/htm/2023-SIB-0304.htm
HB 4476,Michigan,2023-2024 Regular Session,Crimes: malicious destruction; crime of institutional desecration; create. Amends 1931 PA 328 (MCL 750.1 - 750.568) by adding sec. 147c.,Apr 26 2023,Bill Electronically Reproduced 04/27/2023,Apr 27 2023,https://openstates.org/mi/bills/2023-2024/HB4476/,Noah Arbit,Ranjeev Puri; Kristian Grant; Sharon MacDonell; Penelope Tsernoglou; Dylan Wegela; Jason Morgan; Veronica Paiz; Jaime Churches; Carol Glanville; Jason Hoskins; Mike McFall; Betsy Coffia; Joey Andrews; Carrie Rheingans; Denise Mentzer; Alabas Farhat; Jasper Martus; Kelly Breen; Donavan McKinney; Jimmie Wilson Jr.; Phil Skaggs; Samantha Steckloff; Julie M. Rogers; Tyrone Carter; Erin Byrnes; Natalie Price; Regina Weiss; Brenda Carter; Reggie Miller; Kara Hope; Rachel Hood; Jenn Hill; Felicia Brabec; Helena Scott; Jennifer Conlin; Emily Dievendorf; Stephanie A. Young; Amos O'Neal; Cynthia Neeley; Christine Morse; Julie Brixie; John Fitzgerald; Kimberly Edwards; Nate Shannon; Abraham Aiyash; Karen Whitsett,http://legislature.mi.gov/documents/2023-2024/billintroduced/House/htm/2023-HIB-4476.htm
SF 544,Iowa,2023-2024 Regular Session,"A bill for an act providing for business organizations, including limited liability companies, providing penalties, and including effective date provisions.",Mar 06 2023,Withdrawn.,Apr 27 2023,https://openstates.org/ia/bills/2023-2024/SF544/,COMMITTEE ON JUDICIARY,,https://www.legis.iowa.gov/docs/publications/AMDI/90/S3195.pdf
HB 447,North Carolina,2023-2024 Session,Clarify Motor Vehicle Dealer Laws.,Mar 22 2023,Regular Message Sent To Senate,Apr 27 2023,https://openstates.org/nc/bills/2023/HB447/,Ross,Michael H. Wray; Dean Arp; Brian Biggs; Kelly E. Hastings; Zack Hawkins; N. Jackson; Donnie Loftis; Moss; Erin Paré; Dennis Riddell; Larry C. Strickland; Steve Tyson; Bill Ward,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H447v2.pdf
HB 2473,Kansas,2023-2024 Regular Session,Reconciling multiple amendments to certain statutes.,Apr 26 2023,Referred To Committee Of The Whole,Apr 27 2023,https://openstates.org/ks/bills/2023-2024/HB2473/,,,http://www.kslegislature.org/li/b2023_24/measures/documents/hb2473_00_0000.pdf
HF 2497,Minnesota,2023-2024 Regular Session,Education finance bill.,Mar 02 2023,Senate Conferees Kunesh; Cwodzinski; Gustafson; Maye Quade; Duckworth,Apr 27 2023,https://openstates.org/mn/bills/2023-2024/HF2497/,Cheryl Youakim,Laurie Pryor; Clardy; Josiah Hill; Mary K. Kunesh,https://www.revisor.mn.gov/bills/text.php?number=HF2497&version=1&session=ls93&session_year=2023&session_number=0&type=ue
HB 2824,Oklahoma,2023 Regular Session,"Long-term care; transfer of employees, powers, duties, monies and contractual rights; informal dispute resolution process; effective dates; emergency.",Feb 06 2023,Sa's Received,Apr 27 2023,https://openstates.org/ok/bills/2023/HB2824/,Micheal Bergstrom,,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24 COMMITTEE AMENDMENTS/House/HB2824 FULLPCS1 GERRID KENDRIX-TJ.PDF
SB 2018,North Dakota,68th Legislative Assembly (2023-24),"AN ACT to provide an appropriation for defraying the expenses of the state historical society; to amend and reenact sections 55-03-01 and 55-03-01.1 of the North Dakota Century Code, relating to permit fees; to provide an exemption; to provide a statement of legislative intent; and to provide for a legislative management study.",Jan 03 2023,Sent To Governor,Apr 27 2023,https://openstates.org/nd/bills/68/SB2018/,,Appropriations,https://www.ndlegis.gov/assembly/68-2023/regular/documents/23-0272-05000.pdf
SF 3035,Minnesota,2023-2024 Regular Session,"Omnibus Jobs, Economic Development, Labor, and Industry appropriations",Mar 22 2023,"House Conferees Hassan; Xiong; Nelson, M.; Berg; Olson, L.",Apr 27 2023,https://openstates.org/mn/bills/2023-2024/SF3035/,Bobby Joe Champion,Zaynab Mohamed; Hodan Hassan; Xiong,https://www.revisor.mn.gov/bills/text.php?number=SF3035&version=2&session=ls93&session_year=2023&session_number=0&type=ue
SB 333,Nevada,2023 Regular Session,Revises provisions relating to virtual currency. (BDR 57-18),Mar 20 2023,"In Assembly.Read First Time. Referred To Committee On Commerce And Labor. To Committee.",Apr 26 2023,https://openstates.org/nv/bills/82/SB333/,,,https://www.leg.state.nv.us/Session/82nd2023/Bills/SB/SB333_R1.pdf
SB 370,Nevada,2023 Regular Session,Revises provisions relating to the protection of consumer information. (BDR 52-42),Mar 23 2023,"In Assembly.Read First Time. Referred To Committee On Commerce And Labor. To Committee.",Apr 26 2023,https://openstates.org/nv/bills/82/SB370/,,Skip Daly; Dallas Harris; Roberta Lange; Dina Neal; Julie Pazina; Melanie Scheible,https://www.leg.state.nv.us/Session/82nd2023/Bills/SB/SB370_R1.pdf
SB 10,Nevada,2023 Regular Session,Revises provisions related to the Nevada State Infrastructure Bank. (BDR 35-358),Nov 16 2022,From Printer. To Engrossment. Engrossed. First Reprint. To Committee.,Apr 26 2023,https://openstates.org/nv/bills/82/SB10/,,,https://www.leg.state.nv.us/Session/82nd2023/Bills/SB/SB10_R1.pdf
SB 1191,Arizona,56th Legislature,disbursements; applicability; definition,Jan 26 2023,Dpa,Apr 26 2023,https://openstates.org/az/bills/56th-1st-regular/SB1191/,J.D. Mesnard,,https://apps.azleg.gov/BillStatus/GetDocumentPdf/506137
SB 623,Oklahoma,2023 Regular Session,Motor vehicles; modifying references to Service Oklahoma. Effective date. Emergency.,Feb 06 2023,Vetoed 04/26/2023,Apr 26 2023,https://openstates.org/ok/bills/2023/SB623/,Dell Kerbs,,http://webserver1.lsb.state.ok.us/cf_pdf/2023-24 COMMITTEE AMENDMENTS/Senate/SB623 CA1.PDF
HB 885,North Carolina,2023-2024 Session,Sound Basic Education for Every Child.,Apr 25 2023,Passed 1st Reading,Apr 26 2023,https://openstates.org/nc/bills/2023/HB885/,Cynthia Ball,Caleb Rudow; Staton-Williams; Michael H. Wray; Amos L. Quick III; Lindsey Prather; Eric Ager; John Autry; Mary Belk; Maria Cervania; Pricey Harrison; F. Jackson; Joe John; Ya Liu; Carolyn G. Logan; Tim Longest; Nasif Majeed; Marcia Morey,https://www.ncleg.gov/Sessions/2023/Bills/House/PDF/H885v1.pdf
SF 566,Iowa,2023-2024 Regular Session,A bill for an act relating to money transmission services.,Apr 06 2023,Withdrawn.,Apr 26 2023,https://openstates.org/ia/bills/2023-2024/SF566/,COMMITTEE ON WAYS AND MEANS,,https://www.legis.iowa.gov/docs/publications/LGI/90/attachments/SF566.html
HB 1143,Washington,2023-2024 Regular Session,Concerning requirements for the purchase or transfer of firearms.,Jan 05 2023,"Chapter 161, 2023 Laws. (View Session Law)",Apr 25 2023,https://openstates.org/wa/bills/2023-2024/HB1143/,Liz Berry,Amy Walen; Julia Reed; Strom Peterson; Chipalo Street; Jessica Bateman; Alex Ramel; Tana Senn; Lisa Callan; Beth Doglio; Nicole Macri; Debra Lekanoff; Davina Duerr; Gerry Pollet; Lauren Davis; Shelley Kloba; Mary Fosse; Timm Ormsby,http://lawfilesext.leg.wa.gov/Biennium/2023-24/Htm/Bills/House%20Bills/1143.htm
HF 1830,Minnesota,2023-2024 Regular Session,State government finance bill.,Feb 15 2023,Senate Conferees Murphy; Carlson; Mitchell; Westlin; Boldon,Apr 25 2023,https://openstates.org/mn/bills/2023-2024/HF1830/,Ginny Klevorn,Samakab Hussein; Murphy,https://www.revisor.mn.gov/bills/text.php?number=HF1830&version=1&session=ls93&session_year=2023&session_number=0&type=ue
HF 2310,Minnesota,2023-2024 Regular Session,"Environment, natural resources, climate, and energy finance and policy bill.",Mar 01 2023,Senate Conferees Hawj; Frentz; Mcewen; Xiong; Coleman,Apr 25 2023,https://openstates.org/mn/bills/2023-2024/HF2310/,Rick Hansen,Foung Hawj,https://www.revisor.mn.gov/bills/text.php?number=HF2310&version=2&session=ls93&session_year=2023&session_number=0&type=ue
AB 473,California,2023-2024 Regular Session,"Motor vehicle manufacturers, distributors, and dealers.",Feb 06 2023,From Committee: Do Pass And Re-Refer To Com. On Appr. (Ayes 14. Noes 0.) (April 24). Re-Referred To Com. On Appr.,Apr 25 2023,https://openstates.org/ca/bills/20232024/AB473/,,,https://leginfo.legislature.ca.gov/faces/billPdf.xhtml?bill_id=202320240AB473&version=20230AB47396AMD
SF 1824,Minnesota,2023-2024 Regular Session,Public safety provisions modifications,Feb 16 2023,"Rule 45-Amend, Subst. General Orders Hf1510",Apr 25 2023,https://openstates.org/mn/bills/2023-2024/SF1824/,Ron Latz,,https://www.revisor.mn.gov/bills/text.php?number=SF1824&version=2&session=ls93&session_year=2023&session_number=0
HB 2019,Kansas,2023-2024 Regular Session,"Implementing additional reporting requirements for information technology projects and state agencies, requiring additional information technology security training and status reports, requiring reporting of significant cybersecurity audits and changing the membership requirements, terms of members and the quorum requirements for the information technology executive council.",Jan 11 2023,"Approved By Governor On Tuesday, April 18, 2023",Apr 25 2023,https://openstates.org/ks/bills/2023-2024/HB2019/,,,http://www.kslegislature.org/li/b2023_24/measures/documents/hb2019_00_0000.pdf
SB 50,Montana,2023 Regular Session,Generally revise laws related to data breach notification,Aug 22 2022,Chapter Number Assigned,Apr 25 2023,https://openstates.org/mt/bills/2023/SB50/,Dan Bartel,,https://leg.mt.gov/bills/2023/SB0099//SB0050_X.pdf
SF 1311,Minnesota,2023-2024 Regular Session,Omnibus Education policy bill,Feb 06 2023,"Senate File First Reading, Referred To Education Finance",Apr 25 2023,https://openstates.org/mn/bills/2023-2024/SF1311/,Steve Cwodzinski,Mary K. Kunesh; Heather Gustafson; Bonnie S. Westlin; Liz Boldon; Laurie Pryor; Kim Hicks,https://www.revisor.mn.gov/bills/text.php?number=SF1311&version=2&session=ls93&session_year=2023&session_number=0
SB 696,Rhode Island,2023 Regular Session,"AN ACT RELATING TO FINANCIAL INSTITUTIONS -- POWERS AND OPERATIONS (Amends outdated provisions of the banking statutes and the home loan protection act, add consumer protections, including minimum capital requirements and limits on investments.)",Mar 22 2023,04/25/2023 Committee Recommended Measure Be Held For Further Study,Apr 25 2023,https://openstates.org/ri/bills/2023/SB696/,Roger A. Picard,,http://webserver.rilegislature.gov/BillText/BillText23/SenateText23/S0696.pdf
HF 1510,Minnesota,2023-2024 Regular Session,"Public safety; various provisions modified relating to public safety commissioner authorization to accept donations, nonfederal grants, bequests, and other gifts of money; Minnesota Hazardous Materials Incident Response Act; bomb disposal cost reimbursement; smoke alarms; Bureau of Criminal Apprehension's questioned identity process; Criminal and Juvenile Justice Information Advisory Group; computer theft; victim notification of plea, sentencing, and sentencing modification hearings; reimbursement program; reimbursement act; and outdated statutory language regarding duty of Office of Justice Programs.",Feb 09 2023,Second Reading,Apr 25 2023,https://openstates.org/mn/bills/2023-2024/HF1510/,Kelly Moller,John Huot; Ron Latz,https://www.revisor.mn.gov/bills/text.php?number=HF1510&version=2&session=ls93&session_year=2023&session_number=0
SCR 44,Hawaii,2023 Regular Session,"Urging The Hawaii Emergency Management Agency To Include In All Live And Recorded Emergency Alert System Video Broadcasts, An On-Screen Interpreter Disseminating The Emergency Information In American Sign Language At All Times, Including During Graphic Presentations.",Mar 07 2023,Received From House (Hse. Com. No. 849).,Apr 25 2023,https://openstates.org/hi/bills/2023 Regular Session/SCR44/,Karl Rhoads,,https://capitol.hawaii.gov/sessions/session2023/bills/SCR44_.HTM
S 365,New York,2023 Regular Session,Relates to enacting the NY privacy act,Jan 04 2023,Reported And Committed To Internet And Technology,Apr 25 2023,https://openstates.org/ny/bills/2023-2024/S365/,Kevin Thomas,Leroy Comrie; Robert Jackson; Liz Krueger; Rachel May; Jessica Ramos,http://assembly.state.ny.us/leg/?sh=printbill&bn=S365&term=2023&Text=Y
AB 1229,California,2023-2024 Regular Session,Unincorporated associations: decentralized nonprofit associations.,Feb 16 2023,From Committee: Do Pass And Re-Refer To Com. On Jud. (Ayes 10. Noes 1.) (April 24). Re-Referred To Com. On Jud.,Apr 25 2023,https://openstates.org/ca/bills/20232024/AB1229/,,,https://leginfo.legislature.ca.gov/faces/billPdf.xhtml?bill_id=202320240AB1229&version=20230AB122998AMD
SB 384,Montana,2023 Regular Session,Generally revise consumer privacy laws,Nov 13 2022,Printed - Enrolled Version Available,Apr 25 2023,https://openstates.org/mt/bills/2023/SB384/,Daniel Zolnikov,,https://leg.mt.gov/bills/2023/SB0399//SB0384_X.pdf
AB 253,Nevada,2023 Regular Session,Provides for the licensure and regulation of certain events at which the sale and consumption of cannabis or cannabis products is allowed. (BDR 56-152),Mar 07 2023,"From Printer. To Engrossment. Engrossed. First Reprint.To Committee.",Apr 24 2023,https://openstates.org/nv/bills/82/AB253/,,,https://www.leg.state.nv.us/Session/82nd2023/Bills/AB/AB253_R1.pdf
